Date,Species,Run,DNA_Sample_Code
5/23/2022,Chinook salmon,Spring,22GR0024
5/23/2022,Chinook salmon,Spring,22GR0028
5/23/2022,Chinook salmon,Spring,22GR0027
5/23/2022,Chinook salmon,Spring,22GR0029
5/23/2022,Chinook salmon,Spring,22GR0023
5/25/2022,Chinook salmon,Spring,22GR0030
5/25/2022,Chinook salmon,Spring,22GR0031
5/25/2022,Chinook salmon,Spring,22GR0032
5/25/2022,Chinook salmon,Spring,22GR0033
5/25/2022,Chinook salmon,Spring,22GR0034
5/25/2022,Chinook salmon,Spring,22GR0035
5/25/2022,Chinook salmon,Spring,22GR0036
5/25/2022,Chinook salmon,Spring,22GR0037
5/27/2022,Chinook salmon,Spring,22GR0044
5/27/2022,Chinook salmon,Spring,22GR0045
5/27/2022,Chinook salmon,Spring,22GR0046
5/27/2022,Chinook salmon,Spring,22GR0047
5/31/2022,Chinook salmon,Spring,22GR0050
5/31/2022,Chinook salmon,Spring,22GR0052
5/31/2022,Chinook salmon,Spring,22GR0049
5/31/2022,Chinook salmon,Spring,22GR0051
5/31/2022,Chinook salmon,Spring,22GR0048
5/31/2022,Chinook salmon,Spring,22GR0058
6/3/2022,Chinook salmon,Spring,22GR0061
6/3/2022,Chinook salmon,Spring,22GR0059
6/3/2022,Chinook salmon,Spring,22GR0065
6/3/2022,Chinook salmon,Spring,22GR0067
6/3/2022,Chinook salmon,Spring,22GR0064
6/3/2022,Chinook salmon,Spring,22GR0062
6/3/2022,Chinook salmon,Spring,22GR0063
6/3/2022,Chinook salmon,Spring,22GR0066
6/3/2022,Chinook salmon,Spring,22GR0060
6/6/2022,Chinook salmon,Spring,22GR0084
6/6/2022,Chinook salmon,Spring,22GR0077
6/6/2022,Chinook salmon,Spring,22GR0086
6/6/2022,Chinook salmon,Spring,22GR0072
6/6/2022,Chinook salmon,Spring,22GR0078
6/6/2022,Chinook salmon,Spring,22GR0068
6/6/2022,Chinook salmon,Spring,22GR0070
6/6/2022,Chinook salmon,Spring,22GR0083
6/6/2022,Chinook salmon,Spring,22GR0075
6/6/2022,Chinook salmon,Spring,22GR0089
6/6/2022,Chinook salmon,Spring,22GR0088
6/6/2022,Chinook salmon,Spring,22GR0069
6/6/2022,Chinook salmon,Spring,22GR0074
6/6/2022,Chinook salmon,Spring,22GR0080
6/6/2022,Chinook salmon,Spring,22GR0081
6/6/2022,Chinook salmon,Spring,22GR0087
6/6/2022,Chinook salmon,Spring,22GR0071
6/6/2022,Chinook salmon,Spring,22GR0076
6/6/2022,Chinook salmon,Spring,22GR0073
6/6/2022,Chinook salmon,Spring,22GR0085
6/6/2022,Chinook salmon,Spring,22GR0082
6/6/2022,Chinook salmon,Spring,22GR0079
6/8/2022,Chinook salmon,Spring,22GR0090
6/8/2022,Chinook salmon,Spring,22GR0091
6/10/2022,Chinook salmon,Spring,22GR0092
6/13/2022,Chinook salmon,Spring,22GR0093
6/13/2022,Chinook salmon,Spring,22GR0094
6/13/2022,Chinook salmon,Spring,22GR0095
6/13/2022,Chinook salmon,Spring,22GR0096
6/17/2022,Chinook salmon,Spring,22GR0097
6/21/2022,Chinook salmon,Spring,22GR0098
6/24/2022,Chinook salmon,Spring,22GR0099
6/24/2022,Chinook salmon,Spring,22GR0100
6/24/2022,Chinook salmon,Spring,22GR0101
6/24/2022,Chinook salmon,Spring,22GR0102
6/24/2022,Chinook salmon,Spring,22GR0103
6/24/2022,Chinook salmon,Spring,22GR0104
6/24/2022,Chinook salmon,Spring,22GR0105
6/24/2022,Chinook salmon,Spring,22GR0106
6/24/2022,Chinook salmon,Spring,22GR0107
6/24/2022,Chinook salmon,Spring,22GR0108
6/24/2022,Chinook salmon,Spring,22GR0109
6/27/2022,Chinook salmon,Spring,22GR0114
6/27/2022,Chinook salmon,Spring,22GR0110
6/27/2022,Chinook salmon,Spring,22GR0115
6/27/2022,Chinook salmon,Spring,22GR0116
6/27/2022,Chinook salmon,Spring,22GR0112
6/29/2022,Chinook salmon,Spring,22GR0118
6/29/2022,Chinook salmon,Spring,22GR0119
6/29/2022,Chinook salmon,Spring,22GR0120
6/29/2022,Chinook salmon,Spring,22GR0121
6/29/2022,Chinook salmon,Spring,22GR0122
6/29/2022,Chinook salmon,Spring,22GR0123
6/29/2022,Chinook salmon,Spring,22GR0124
6/29/2022,Chinook salmon,Spring,22GR0125
6/29/2022,Chinook salmon,Spring,22GR0126
7/1/2022,Chinook salmon,Spring,22GR0127
7/1/2022,Chinook salmon,Spring,22GR0128
7/1/2022,Chinook salmon,Spring,22GR0129
7/1/2022,Chinook salmon,Spring,22GR0130
7/1/2022,Chinook salmon,Spring,22GR0131
7/5/2022,Chinook salmon,Spring,22GR0133
7/5/2022,Chinook salmon,Spring,22GR0132
7/5/2022,Chinook salmon,Spring,22GR0134
7/8/2022,Chinook salmon,Spring,22GR0136
7/8/2022,Chinook salmon,Spring,22GR0137
7/8/2022,Chinook salmon,Spring,22GR0138
7/8/2022,Chinook salmon,Spring,22GR0139
7/8/2022,Chinook salmon,Spring,22GR0140
7/8/2022,Chinook salmon,Spring,22GR0141
7/8/2022,Chinook salmon,Spring,22GR0142
7/8/2022,Chinook salmon,Spring,22GR0143
7/8/2022,Chinook salmon,Spring,22GR0144
7/11/2022,Chinook salmon,Spring,22GR0150
7/11/2022,Chinook salmon,Spring,22GR0145
7/11/2022,Chinook salmon,Spring,22GR0146
7/11/2022,Chinook salmon,Spring,22GR0148
7/11/2022,Chinook salmon,Spring,22GR0151
7/11/2022,Chinook salmon,Spring,22GR0147
7/11/2022,Chinook salmon,Spring,22GR0149
7/13/2022,Chinook salmon,Spring,22GR0152
7/13/2022,Chinook salmon,Spring,22GR0153
7/13/2022,Chinook salmon,Spring,22GR0154
7/13/2022,Chinook salmon,Spring,22GR0155
7/13/2022,Chinook salmon,Spring,22GR0156
7/15/2022,Chinook salmon,Fall,22GR0157
7/15/2022,Chinook salmon,Spring,22GR0158
7/15/2022,Chinook salmon,Fall,22GR0159
7/18/2022,Chinook salmon,Fall,22GR0160
7/18/2022,Chinook salmon,Fall,22GR0161
7/18/2022,Chinook salmon,Fall,22GR0162
7/20/2022,Chinook salmon,Fall,22GR0163
7/20/2022,Chinook salmon,Fall,22GR0164
7/20/2022,Chinook salmon,Fall,22GR0165
7/20/2022,Chinook salmon,Spring,22GR0167
7/20/2022,Chinook salmon,Fall,22GR0166
7/22/2022,Chinook salmon,Spring,22GR0168
7/22/2022,Chinook salmon,Spring,22GR0173
7/22/2022,Chinook salmon,Fall,22GR0170
7/22/2022,Chinook salmon,Spring,22GR0171
7/22/2022,Chinook salmon,Fall,22GR0169
7/22/2022,Chinook salmon,Fall,22GR0172
7/27/2022,Chinook salmon,Fall,22GR0174
7/27/2022,Chinook salmon,Fall,22GR0175
7/27/2022,Chinook salmon,Fall,22GR0176
7/27/2022,Chinook salmon,Spring,22GR0177
7/29/2022,Chinook salmon,Fall,22GR0179
7/29/2022,Chinook salmon,Fall,22GR0180
7/29/2022,Chinook salmon,Fall,22GR0181
8/1/2022,Chinook salmon,Spring,22GR0182
8/1/2022,Chinook salmon,Fall,22GR0183
8/1/2022,Chinook salmon,Fall,22GR0184
8/1/2022,Chinook salmon,Fall,22GR0185
8/3/2022,Chinook salmon,Fall,22GR0186
8/3/2022,Chinook salmon,Spring,22GR0187
8/3/2022,Chinook salmon,Fall,22GR0188
8/3/2022,Chinook salmon,Spring,22GR0189
8/3/2022,Chinook salmon,Spring,22GR0190
8/8/2022,Chinook salmon,Fall,22GR0191
8/8/2022,Chinook salmon,Fall,22GR0192
8/8/2022,Chinook salmon,Spring,22GR0193
8/10/2022,Chinook salmon,Fall,22GR0194
8/10/2022,Chinook salmon,Fall,22GR0195
8/12/2022,Chinook salmon,Fall,22GR0196
8/12/2022,Chinook salmon,Fall,22GR0197
8/12/2022,Chinook salmon,Fall,22GR0198
8/12/2022,Chinook salmon,Fall,22GR0199
8/12/2022,Chinook salmon,Fall,22GR0200
8/12/2022,Chinook salmon,Spring,22GR0201
8/12/2022,Chinook salmon,Spring,22GR0202
8/15/2022,Chinook salmon,Fall,22GR0203
8/15/2022,Chinook salmon,Fall,22GR0204
8/15/2022,Chinook salmon,Fall,22GR0205
8/15/2022,Chinook salmon,Fall,22GR0206
8/15/2022,Chinook salmon,Fall,22GR0207
8/15/2022,Chinook salmon,Fall,22GR0208
8/17/2022,Chinook salmon,Fall,22GR0209
8/17/2022,Chinook salmon,Fall,22GR0210
8/17/2022,Chinook salmon,Fall,22GR0211
8/17/2022,Chinook salmon,Spring,22GR0212
8/19/2022,Chinook salmon,Fall,22GR0213
8/19/2022,Chinook salmon,Fall,22GR0214
8/19/2022,Chinook salmon,Fall,22GR0215
8/24/2022,Chinook salmon,Fall,22GR0216
8/24/2022,Chinook salmon,Fall,22GR0217
8/24/2022,Chinook salmon,Fall,22GR0218
8/24/2022,Chinook salmon,Fall,22GR0219
8/24/2022,Chinook salmon,Spring,22GR0220
8/24/2022,Chinook salmon,Fall,22GR0221
8/24/2022,Chinook salmon,Fall,22GR0222
8/26/2022,Chinook salmon,Fall,22GR0223
8/26/2022,Chinook salmon,Fall,22GR0224
8/26/2022,Chinook salmon,Fall,22GR0225
8/26/2022,Chinook salmon,Fall,22GR0226
8/26/2022,Chinook salmon,Fall,22GR0227
8/26/2022,Chinook salmon,Spring,22GR0228
8/29/2022,Chinook salmon,Fall,22GR0229
8/29/2022,Chinook salmon,Fall,22GR0230
8/29/2022,Chinook salmon,Fall,22GR0231
8/29/2022,Chinook salmon,Fall,22GR0232
8/29/2022,Chinook salmon,Fall,22GR0233
8/29/2022,Chinook salmon,Fall,22GR0234
8/29/2022,Chinook salmon,Fall,22GR0235
8/29/2022,Chinook salmon,Fall,22GR0236
8/29/2022,Chinook salmon,Fall,22GR0237
8/29/2022,Chinook salmon,Fall,22GR0238
8/29/2022,Chinook salmon,Fall,22GR0239
8/29/2022,Chinook salmon,Fall,22GR0240
8/29/2022,Chinook salmon,Spring,22GR0241
8/29/2022,Chinook salmon,Spring,22GR0242
9/1/2022,Chinook salmon,Fall,22GR0243
9/1/2022,Chinook salmon,Fall,22GR0244
9/1/2022,Chinook salmon,Fall,22GR0245
9/1/2022,Chinook salmon,Fall,22GR0246
9/1/2022,Chinook salmon,Fall,22GR0247
9/1/2022,Chinook salmon,Fall,22GR0248
9/1/2022,Chinook salmon,Spring,22GR0249
9/1/2022,Chinook salmon,Fall,22GR0250
9/6/2022,Chinook salmon,Fall,22GR0251
9/6/2022,Chinook salmon,Fall,22GR0252
9/6/2022,Chinook salmon,Fall,22GR0253
9/6/2022,Chinook salmon,Fall,22GR0254
9/6/2022,Chinook salmon,Fall,22GR0255
9/6/2022,Chinook salmon,Fall,22GR0256
9/6/2022,Chinook salmon,Fall,22GR0257
9/6/2022,Chinook salmon,Fall,22GR0258
9/6/2022,Chinook salmon,Fall,22GR0259
9/6/2022,Chinook salmon,Fall,22GR0260
9/6/2022,Chinook salmon,Spring,22GR0261
9/6/2022,Chinook salmon,Fall,22GR0262
9/6/2022,Chinook salmon,Spring,22GR0263
9/6/2022,Chinook salmon,Fall,22GR0264
9/9/2022,Chinook salmon,Fall,22GR0265
9/9/2022,Chinook salmon,Fall,22GR0266
9/9/2022,Chinook salmon,Fall,22GR0267
9/9/2022,Chinook salmon,Fall,22GR0268
9/9/2022,Chinook salmon,Fall,22GR0269
9/9/2022,Chinook salmon,Fall,22GR0270
9/9/2022,Chinook salmon,Fall,22GR0271
9/9/2022,Chinook salmon,Fall,22GR0272
9/9/2022,Chinook salmon,Spring,22GR0273
9/12/2022,Chinook salmon,Fall,22GR0274
9/12/2022,Chinook salmon,Fall,22GR0275
9/12/2022,Chinook salmon,Spring,22GR0276
9/12/2022,Chinook salmon,Fall,22GR0277
9/12/2022,Chinook salmon,Fall,22GR0278
9/12/2022,Chinook salmon,Fall,22GR0279
9/12/2022,Chinook salmon,Fall,22GR0280
9/14/2022,Chinook salmon,Fall,22GR0281
9/14/2022,Chinook salmon,Fall,22GR0282
9/14/2022,Chinook salmon,Fall,22GR0283
9/14/2022,Chinook salmon,Fall,22GR0284
9/14/2022,Chinook salmon,Fall,22GR0285
9/14/2022,Chinook salmon,Fall,22GR0286
9/14/2022,Chinook salmon,Fall,22GR0287
9/14/2022,Chinook salmon,Fall,22GR0288
9/14/2022,Chinook salmon,Spring,22GR0289
9/14/2022,Chinook salmon,Spring,22GR0290
9/16/2022,Chinook salmon,Fall,22GR0291
9/16/2022,Chinook salmon,Fall,22GR0292
9/16/2022,Chinook salmon,Fall,22GR0293
9/16/2022,Chinook salmon,Fall,22GR0294
9/16/2022,Chinook salmon,Fall,22GR0295
9/16/2022,Chinook salmon,Fall,22GR0296
9/16/2022,Chinook salmon,Fall,22GR0297
9/16/2022,Chinook salmon,Spring,22GR0298
9/19/2022,Chinook salmon,Fall,22GR0299
9/19/2022,Chinook salmon,Fall,22GR0300
9/19/2022,Chinook salmon,Fall,22GR0301
9/19/2022,Chinook salmon,Fall,22GR0302
9/19/2022,Chinook salmon,Fall,22GR0303
9/19/2022,Chinook salmon,Fall,22GR0304
9/19/2022,Chinook salmon,Fall,22GR0305
9/19/2022,Chinook salmon,Spring,22GR0306
9/21/2022,Chinook salmon,Fall,22GR0307
9/21/2022,Chinook salmon,Fall,22GR0308
9/21/2022,Chinook salmon,Fall,22GR0309
9/21/2022,Chinook salmon,Fall,22GR0310
9/21/2022,Chinook salmon,Fall,22GR0311
9/21/2022,Chinook salmon,Fall,22GR0312
9/21/2022,Chinook salmon,Fall,22GR0313
9/21/2022,Chinook salmon,Fall,22GR0314
9/23/2022,Chinook salmon,Fall,22GR0315
9/23/2022,Chinook salmon,Fall,22GR0316
9/23/2022,Chinook salmon,Fall,22GR0317
9/23/2022,Chinook salmon,Fall,22GR0318
9/23/2022,Chinook salmon,Fall,22GR0319
9/26/2022,Chinook salmon,Fall,22GR0321
9/26/2022,Chinook salmon,Fall,22GR0324
9/26/2022,Chinook salmon,Fall,22GR0322
9/26/2022,Chinook salmon,Fall,22GR0325
9/26/2022,Chinook salmon,Fall,22GR0323
9/26/2022,Chinook salmon,Fall,22GR0320
9/26/2022,Chinook salmon,Fall,22GR0326
9/28/2022,Chinook salmon,Fall,22GR0332
9/28/2022,Chinook salmon,Fall,22GR0330
9/28/2022,Chinook salmon,Fall,22GR0328
9/28/2022,Chinook salmon,Fall,22GR0331
9/28/2022,Chinook salmon,Fall,22GR0327
9/28/2022,Chinook salmon,Fall,22GR0333
9/28/2022,Chinook salmon,Fall,22GR0329
10/7/2022,Chinook salmon,Fall,22GR0334
10/7/2022,Chinook salmon,Fall,22GR0335
10/7/2022,Chinook salmon,Fall,22GR0336
10/7/2022,Chinook salmon,Fall,22GR0337
10/7/2022,Chinook salmon,Fall,22GR0338
10/7/2022,Chinook salmon,Fall,22GR0339
10/10/2022,Chinook salmon,Fall,22GR0340
10/10/2022,Chinook salmon,Fall,22GR0341
10/10/2022,Chinook salmon,Fall,22GR0342
10/10/2022,Chinook salmon,Fall,22GR0343
10/10/2022,Chinook salmon,Fall,22GR0344
10/10/2022,Chinook salmon,Fall,22GR0345
10/12/2022,Chinook salmon,Fall,22GR0346
10/12/2022,Chinook salmon,Fall,22GR0347
10/12/2022,Chinook salmon,Fall,22GR0348
10/12/2022,Chinook salmon,Fall,22GR0349
10/12/2022,Chinook salmon,Fall,22GR0350
10/12/2022,Chinook salmon,Fall,22GR0351
10/12/2022,Chinook salmon,Fall,22GR0352
10/14/2022,Chinook salmon,Fall,22GR0353
10/14/2022,Chinook salmon,Fall,22GR0354
10/14/2022,Chinook salmon,Fall,22GR0355
10/14/2022,Chinook salmon,Fall,22GR0356
10/14/2022,Chinook salmon,Fall,22GR0357
10/14/2022,Chinook salmon,Fall,22GR0358
10/14/2022,Chinook salmon,Fall,22GR0359
10/17/2022,Chinook salmon,Fall,22GR0360
10/17/2022,Chinook salmon,Fall,22GR0361
10/17/2022,Chinook salmon,Fall,22GR0362
10/17/2022,Chinook salmon,Fall,22GR0363
10/17/2022,Chinook salmon,Fall,22GR0364
10/17/2022,Chinook salmon,Fall,22GR0365
10/17/2022,Chinook salmon,Fall,22GR0366
10/19/2022,Chinook salmon,Fall,22GR0367
10/19/2022,Chinook salmon,Fall,22GR0368
10/21/2022,Chinook salmon,Fall,22GR0369
10/21/2022,Chinook salmon,Fall,22GR0370
